600	89754
93	442
0	1	33
0	2	31
0	3	61
4	0	20
0	5	9
0	6	14
7	0	55
8	0	74
0	9	36
10	0	53
0	11	88
12	0	91
13	0	21
0	14	96
0	15	91
0	16	41
0	17	70
18	0	66
19	0	38
20	0	15
0	21	13
22	0	64
0	23	63
0	24	51
25	0	45
0	26	23
0	27	78
0	28	86
29	0	47
30	0	87
31	0	87
0	32	46
33	0	89
34	0	70
0	35	36
36	0	63
37	0	70
0	38	64
39	0	25
0	40	81
0	41	77
42	0	12
43	0	31
44	0	73
0	45	62
46	0	100
47	0	26
48	0	10
0	49	7
0	50	45
51	0	22
52	0	43
0	53	64
0	54	58
55	0	81
56	0	70
57	0	14
58	0	13
0	59	1
0	60	35
61	0	21
62	0	85
0	63	8
64	0	82
65	0	8
66	0	98
0	67	36
68	0	33
0	69	72
0	70	7
0	71	24
0	72	70
73	0	44
74	0	43
0	75	77
76	0	64
77	0	47
78	0	34
79	0	44
0	80	84
81	0	54
82	0	85
83	0	41
0	84	17
0	85	84
0	86	12
0	87	71
0	88	11
0	89	12
0	90	50
0	91	29
0	92	89
93	0	86
94	0	22
0	95	92
96	0	90
97	0	49
98	0	40
99	0	79
0	100	58
101	0	27
102	0	30
0	103	100
0	104	81
0	105	82
0	106	17
107	0	4
0	108	87
109	0	34
110	0	8
0	111	5
0	112	33
0	113	87
0	114	19
0	115	97
0	116	63
0	117	49
118	0	30
119	0	82
0	120	87
121	0	85
0	122	31
0	123	8
124	0	85
0	125	46
126	0	6
0	127	83
128	0	99
129	0	76
130	0	100
131	0	95
132	0	27
133	0	8
0	134	86
135	0	64
136	0	30
137	0	45
0	138	23
0	139	98
140	0	92
141	0	69
142	0	91
0	143	32
144	0	39
0	145	23
146	0	90
0	147	47
0	148	64
149	0	24
150	0	17
0	151	58
0	152	16
153	0	23
0	154	36
0	155	63
0	156	13
0	157	54
158	0	8
0	159	81
0	160	39
161	0	22
162	0	97
163	0	92
164	0	82
165	0	3
166	0	94
167	0	57
168	0	10
169	0	20
170	0	64
171	0	56
0	172	14
0	173	84
174	0	61
175	0	42
0	176	56
177	0	13
178	0	95
0	179	19
180	0	24
181	0	88
182	0	41
0	183	66
0	184	59
185	0	50
186	0	24
0	187	66
188	0	27
189	0	53
190	0	36
0	191	54
0	192	88
0	193	26
194	0	68
195	0	56
0	196	29
0	197	18
0	198	7
0	199	79
0	200	83
0	201	99
0	202	25
0	203	22
0	204	17
0	205	29
0	206	22
0	207	47
0	208	46
0	209	45
0	210	10
0	211	56
0	212	43
213	0	45
0	214	37
0	215	8
0	216	84
0	217	88
218	0	7
0	219	33
220	0	97
0	221	3
0	222	95
223	0	93
0	224	92
225	0	25
226	0	64
227	0	18
0	228	90
229	0	19
230	0	41
0	231	94
232	0	86
233	0	79
234	0	10
235	0	83
236	0	53
237	0	10
0	238	46
239	0	55
240	0	11
0	241	44
0	242	62
0	243	75
244	0	73
245	0	83
0	246	70
0	247	74
0	248	68
0	249	71
0	250	11
251	0	55
252	0	57
0	253	85
254	0	89
255	0	51
256	0	77
0	257	29
0	258	54
259	0	53
260	0	83
0	261	53
262	0	79
263	0	58
264	0	68
265	0	55
0	266	66
267	0	41
268	0	98
0	269	50
270	0	100
271	0	2
0	272	29
0	273	72
274	0	24
0	275	13
0	276	94
0	277	11
278	0	39
279	0	21
280	0	25
0	281	30
282	0	41
283	0	6
284	0	93
285	0	34
286	0	85
287	0	48
288	0	38
289	0	52
0	290	85
291	0	82
292	0	14
0	293	89
0	294	1
0	295	23
0	296	79
297	0	95
0	298	93
0	299	38
1	2	53
3	1	94
1	4	88
1	5	15
1	6	83
7	1	92
1	8	23
9	1	40
1	10	42
11	1	56
12	1	9
13	1	97
1	14	45
15	1	2
1	16	60
17	1	68
1	18	87
19	1	70
20	1	88
21	1	24
22	1	47
23	1	10
24	1	58
25	1	37
1	26	49
27	1	45
1	28	24
29	1	36
30	1	13
1	31	4
1	32	40
1	33	63
34	1	76
35	1	73
36	1	11
37	1	87
38	1	96
1	39	5
40	1	96
41	1	80
1	42	10
43	1	67
1	44	11
1	45	14
1	46	90
1	47	89
48	1	2
1	49	70
50	1	74
51	1	34
1	52	97
1	53	55
1	54	79
1	55	85
56	1	53
1	57	93
58	1	75
1	59	68
1	60	60
61	1	38
62	1	4
1	63	57
1	64	39
65	1	16
1	66	80
67	1	35
68	1	5
1	69	38
1	70	34
1	71	81
1	72	66
73	1	99
74	1	12
75	1	79
76	1	6
1	77	43
1	78	2
1	79	6
80	1	91
1	81	84
1	82	14
83	1	52
84	1	13
1	85	36
1	86	56
87	1	3
88	1	65
1	89	8
90	1	72
91	1	79
92	1	20
93	1	1
1	94	94
1	95	94
1	96	1
97	1	77
98	1	41
1	99	85
1	100	65
101	1	16
102	1	4
1	103	95
104	1	38
105	1	7
106	1	93
107	1	44
108	1	90
109	1	86
1	110	56
1	111	26
1	112	96
113	1	61
1	114	59
1	115	39
116	1	99
117	1	1
118	1	69
119	1	55
120	1	7
1	121	80
122	1	8
123	1	64
124	1	17
1	125	21
126	1	98
127	1	32
1	128	55
1	129	1
130	1	20
131	1	13
1	132	92
1	133	29
134	1	50
135	1	23
1	136	31
1	137	26
1	138	82
1	139	38
1	140	90
141	1	37
1	142	3
143	1	99
144	1	73
1	145	31
146	1	16
1	147	92
148	1	88
149	1	36
1	150	86
151	1	2
152	1	74
153	1	18
154	1	79
155	1	22
1	156	91
157	1	57
1	158	4
1	159	86
1	160	45
1	161	89
162	1	71
1	163	61
1	164	81
165	1	80
166	1	60
167	1	78
1	168	46
1	169	90
1	170	1
1	171	54
1	172	31
1	173	53
1	174	73
1	175	12
1	176	89
1	177	100
1	178	20
179	1	33
180	1	76
181	1	94
1	182	11
1	183	75
1	184	75
185	1	14
186	1	65
1	187	5
188	1	53
1	189	98
1	190	76
1	191	76
192	1	30
1	193	58
194	1	72
1	195	61
1	196	97
197	1	3
198	1	62
199	1	43
1	200	71
201	1	7
202	1	32
1	203	39
1	204	72
1	205	53
1	206	97
1	207	49
208	1	61
209	1	53
1	210	24
1	211	1
212	1	58
213	1	86
1	214	29
215	1	10
216	1	69
1	217	68
1	218	78
219	1	22
1	220	43
1	221	25
1	222	17
1	223	90
1	224	18
1	225	94
1	226	58
227	1	60
1	228	67
1	229	24
1	230	57
1	231	70
232	1	69
1	233	39
234	1	42
1	235	25
1	236	70
1	237	83
238	1	83
239	1	71
240	1	88
1	241	54
242	1	77
1	243	20
244	1	63
1	245	22
1	246	26
247	1	76
1	248	65
249	1	92
250	1	82
1	251	100
252	1	2
253	1	16
