1000	249593
216	773
0	1	1
2	0	71
0	3	75
4	0	16
0	5	33
6	0	81
0	7	90
0	8	56
9	0	90
0	10	71
11	0	82
0	12	36
0	13	29
0	14	9
0	15	51
0	16	78
17	0	82
18	0	21
0	19	46
20	0	82
21	0	80
22	0	13
23	0	55
0	24	21
0	25	36
0	26	97
0	27	15
28	0	51
0	29	58
0	30	21
0	31	52
32	0	27
33	0	71
34	0	75
35	0	89
0	36	39
37	0	62
0	38	36
39	0	68
40	0	63
41	0	76
0	42	89
43	0	10
44	0	81
45	0	82
46	0	92
0	47	66
48	0	13
49	0	73
50	0	83
51	0	49
0	52	86
53	0	100
0	54	73
55	0	9
56	0	89
57	0	30
58	0	71
0	59	55
0	60	96
61	0	69
0	62	69
0	63	73
0	64	78
0	65	75
66	0	9
67	0	95
0	68	86
0	69	42
0	70	51
71	0	78
0	72	85
73	0	29
74	0	14
0	75	40
76	0	80
0	77	5
78	0	14
0	79	55
80	0	65
0	81	26
82	0	67
83	0	16
0	84	69
85	0	39
0	86	45
0	87	61
0	88	27
89	0	64
90	0	81
91	0	85
92	0	99
93	0	74
94	0	32
95	0	83
96	0	90
97	0	75
0	98	33
99	0	30
0	100	72
101	0	38
0	102	79
103	0	72
104	0	77
105	0	9
0	106	92
0	107	52
0	108	85
109	0	46
110	0	48
111	0	37
112	0	38
0	113	35
114	0	73
0	115	16
116	0	4
117	0	34
0	118	63
119	0	77
120	0	60
0	121	76
122	0	28
0	123	5
124	0	56
0	125	73
126	0	41
127	0	27
128	0	14
0	129	63
0	130	19
0	131	61
132	0	57
0	133	27
0	134	97
135	0	52
0	136	64
137	0	36
0	138	5
0	139	95
0	140	67
141	0	97
142	0	20
0	143	16
0	144	36
145	0	58
0	146	74
147	0	52
148	0	75
0	149	70
0	150	78
151	0	69
0	152	79
0	153	35
154	0	46
155	0	16
156	0	10
157	0	14
0	158	54
0	159	72
160	0	6
161	0	29
0	162	44
0	163	28
164	0	55
165	0	94
0	166	3
0	167	12
168	0	2
169	0	58
170	0	47
171	0	24
172	0	47
0	173	58
0	174	15
0	175	21
176	0	57
177	0	77
0	178	84
179	0	68
180	0	52
0	181	68
0	182	70
0	183	39
184	0	73
185	0	37
0	186	17
187	0	58
188	0	89
0	189	56
0	190	50
0	191	70
0	192	48
0	193	51
194	0	26
0	195	44
0	196	23
0	197	74
198	0	23
199	0	64
200	0	46
201	0	18
0	202	48
0	203	60
0	204	92
205	0	12
206	0	46
0	207	95
208	0	4
209	0	5
0	210	24
211	0	41
0	212	54
0	213	71
214	0	43
0	215	9
216	0	29
0	217	38
0	218	23
0	219	69
220	0	2
221	0	100
0	222	69
0	223	25
224	0	89
225	0	43
0	226	22
0	227	52
0	228	39
0	229	10
0	230	3
231	0	2
0	232	17
0	233	53
0	234	50
0	235	97
0	236	19
237	0	16
0	238	8
239	0	70
240	0	43
241	0	49
242	0	91
0	243	86
244	0	47
0	245	25
0	246	89
0	247	86
248	0	32
249	0	90
250	0	62
251	0	95
252	0	41
0	253	31
254	0	72
0	255	30
256	0	48
257	0	39
258	0	65
259	0	36
260	0	27
261	0	21
262	0	49
263	0	80
0	264	98
0	265	63
266	0	64
267	0	65
268	0	95
0	269	10
0	270	60
0	271	30
0	272	39
0	273	79
274	0	19
275	0	88
0	276	48
277	0	92
0	278	25
0	279	99
280	0	37
281	0	4
0	282	97
283	0	19
284	0	81
0	285	39
286	0	9
0	287	96
288	0	71
0	289	8
0	290	29
291	0	48
0	292	63
293	0	76
0	294	92
295	0	69
0	296	78
297	0	76
0	298	77
0	299	96
300	0	70
301	0	6
0	302	84
303	0	16
304	0	55
305	0	57
306	0	54
307	0	97
308	0	88
309	0	78
0	310	93
311	0	59
312	0	61
313	0	26
314	0	4
315	0	22
316	0	11
317	0	28
0	318	93
0	319	88
320	0	2
0	321	41
322	0	28
323	0	77
0	324	66
0	325	19
0	326	47
0	327	90
328	0	40
329	0	80
0	330	87
0	331	92
0	332	37
0	333	100
0	334	51
335	0	83
0	336	55
0	337	76
0	338	10
0	339	75
0	340	79
0	341	32
0	342	22
0	343	34
344	0	20
345	0	22
0	346	31
0	347	26
348	0	34
0	349	16
0	350	88
0	351	57
352	0	58
353	0	64
0	354	48
0	355	82
356	0	44
0	357	6
358	0	64
0	359	22
360	0	65
0	361	90
362	0	93
0	363	91
364	0	46
0	365	95
366	0	21
367	0	44
368	0	1
369	0	88
0	370	49
371	0	13
372	0	87
0	373	17
0	374	73
0	375	44
0	376	97
377	0	25
378	0	66
0	379	21
0	380	75
381	0	29
382	0	87
383	0	39
384	0	15
385	0	59
386	0	51
387	0	60
388	0	82
389	0	73
390	0	6
0	391	61
0	392	4
0	393	88
394	0	39
0	395	36
396	0	25
397	0	41
398	0	50
0	399	93
400	0	19
0	401	9
0	402	66
403	0	76
0	404	22
405	0	39
406	0	20
0	407	30
408	0	41
409	0	58
410	0	41
0	411	67
412	0	2
413	0	73
414	0	4
415	0	94
0	416	84
0	417	39
418	0	40
419	0	73
0	420	52
421	0	95
