800	79882
152	202
1	0	11
2	0	31
0	3	24
4	0	89
0	5	90
6	0	58
0	7	54
8	0	21
9	0	50
0	10	7
11	0	46
12	0	10
13	0	56
14	0	87
15	0	5
0	16	74
0	17	74
18	0	67
19	0	71
0	20	30
21	0	6
0	22	73
23	0	41
24	0	52
0	25	80
26	0	20
27	0	58
0	28	85
0	29	14
30	0	91
0	31	77
32	0	26
33	0	63
34	0	10
35	0	9
0	36	41
0	37	99
38	0	5
39	0	8
40	0	43
0	41	8
42	0	75
0	43	95
0	44	67
45	0	52
0	46	49
47	0	55
48	0	80
0	49	94
50	0	39
0	51	4
52	0	51
0	53	10
54	0	48
55	0	19
56	0	52
57	0	17
0	58	98
59	0	14
60	0	19
61	0	33
0	62	12
63	0	90
64	0	91
65	0	13
0	66	30
67	0	81
0	68	46
0	69	36
0	70	53
71	0	79
0	72	72
73	0	42
74	0	44
0	75	94
76	0	68
0	77	91
78	0	74
0	79	69
0	80	57
0	81	3
82	0	9
83	0	93
0	84	82
0	85	22
86	0	75
0	87	31
0	88	45
0	89	42
0	90	71
91	0	48
0	92	53
93	0	30
0	94	31
0	95	59
96	0	73
97	0	88
0	98	72
99	0	64
0	100	40
101	0	9
102	0	29
103	0	93
104	0	90
105	0	63
106	0	12
0	107	93
108	0	20
0	109	100
0	110	65
111	0	3
112	0	83
0	113	70
0	114	41
0	115	24
116	0	50
0	117	67
0	118	11
119	0	1
0	120	50
121	0	54
122	0	13
123	0	23
0	124	6
125	0	33
0	126	1
0	127	60
0	128	38
0	129	65
130	0	56
0	131	46
132	0	75
0	133	63
0	134	87
135	0	77
136	0	84
0	137	96
0	138	28
0	139	6
140	0	56
141	0	12
0	142	56
143	0	81
144	0	44
0	145	11
0	146	83
0	147	47
148	0	35
149	0	36
0	150	76
151	0	65
0	152	87
0	153	42
0	154	42
155	0	96
0	156	50
157	0	7
0	158	33
0	159	73
0	160	89
161	0	35
162	0	50
163	0	99
0	164	24
165	0	69
0	166	9
167	0	35
168	0	11
169	0	85
0	170	16
171	0	100
172	0	23
173	0	54
174	0	73
0	175	7
0	176	92
177	0	61
178	0	23
0	179	29
180	0	37
0	181	90
0	182	13
0	183	95
0	184	49
0	185	69
186	0	55
0	187	81
188	0	45
0	189	80
190	0	37
0	191	54
0	192	95
0	193	7
0	194	33
0	195	23
196	0	50
