400	39890
100	343
0	1	35
0	2	86
0	3	84
4	0	2
0	5	43
0	6	1
0	7	55
0	8	48
9	0	57
0	10	32
0	11	97
12	0	37
13	0	42
14	0	100
15	0	97
0	16	24
0	17	73
18	0	90
0	19	63
0	20	64
0	21	94
0	22	31
0	23	85
24	0	92
25	0	36
26	0	66
27	0	74
0	28	88
29	0	42
30	0	50
31	0	29
0	32	14
33	0	24
0	34	51
35	0	43
36	0	49
0	37	67
38	0	53
39	0	14
0	40	62
0	41	78
42	0	35
0	43	21
0	44	58
45	0	42
46	0	5
0	47	31
0	48	24
0	49	53
0	50	81
0	51	63
52	0	32
53	0	97
54	0	39
55	0	61
0	56	10
0	57	91
58	0	86
0	59	35
60	0	71
0	61	67
62	0	77
0	63	27
64	0	17
65	0	89
0	66	95
67	0	67
0	68	6
0	69	51
70	0	27
71	0	1
72	0	28
73	0	96
74	0	79
75	0	65
0	76	58
0	77	43
78	0	26
79	0	19
80	0	26
0	81	9
82	0	7
83	0	41
84	0	73
0	85	27
0	86	20
87	0	37
88	0	98
89	0	92
90	0	51
91	0	56
0	92	83
93	0	62
0	94	13
95	0	15
96	0	100
0	97	66
0	98	81
99	0	45
0	100	89
0	101	65
0	102	66
0	103	28
104	0	51
0	105	89
106	0	31
0	107	48
0	108	95
109	0	93
0	110	61
0	111	73
0	112	31
113	0	33
114	0	83
115	0	25
0	116	96
0	117	16
0	118	78
119	0	6
120	0	90
121	0	87
0	122	29
123	0	48
124	0	50
0	125	53
126	0	3
0	127	6
128	0	41
129	0	68
130	0	41
131	0	77
132	0	62
133	0	75
0	134	30
135	0	37
0	136	35
137	0	40
0	138	27
0	139	71
140	0	35
141	0	68
142	0	36
143	0	43
144	0	2
145	0	21
146	0	93
0	147	23
0	148	84
149	0	56
0	150	2
151	0	27
0	152	19
153	0	64
154	0	26
155	0	3
156	0	49
0	157	58
0	158	81
159	0	11
160	0	53
161	0	77
162	0	79
163	0	46
164	0	97
0	165	100
0	166	7
0	167	33
168	0	75
169	0	73
0	170	76
0	171	49
172	0	27
0	173	97
0	174	27
175	0	34
176	0	29
177	0	13
0	178	25
179	0	26
180	0	67
181	0	32
182	0	71
183	0	58
184	0	81
0	185	83
186	0	20
187	0	94
0	188	63
0	189	19
0	190	98
191	0	7
0	192	8
193	0	86
194	0	36
0	195	17
196	0	77
197	0	15
198	0	97
199	0	91
1	2	29
3	1	84
1	4	89
5	1	15
6	1	62
1	7	66
8	1	29
1	9	29
10	1	66
1	11	22
1	12	4
13	1	74
14	1	83
1	15	46
16	1	45
1	17	16
1	18	64
1	19	12
1	20	54
21	1	45
22	1	26
1	23	38
1	24	94
1	25	6
1	26	70
27	1	95
1	28	51
29	1	37
1	30	100
31	1	90
1	32	25
33	1	81
34	1	83
1	35	81
36	1	46
1	37	84
38	1	10
39	1	20
40	1	90
1	41	65
42	1	58
43	1	98
1	44	57
45	1	24
46	1	54
47	1	95
48	1	77
1	49	27
1	50	16
51	1	27
52	1	12
1	53	95
1	54	76
1	55	70
56	1	94
1	57	15
58	1	34
59	1	77
1	60	4
1	61	7
1	62	72
63	1	52
1	64	67
1	65	7
1	66	18
1	67	8
1	68	32
1	69	85
70	1	85
1	71	63
1	72	46
1	73	53
74	1	49
1	75	70
76	1	13
1	77	80
78	1	6
1	79	35
80	1	34
81	1	11
82	1	84
1	83	12
1	84	79
1	85	33
86	1	71
87	1	95
1	88	9
1	89	6
90	1	58
91	1	46
1	92	43
93	1	2
1	94	46
95	1	13
96	1	49
1	97	74
98	1	42
99	1	21
1	100	34
1	101	98
102	1	12
103	1	20
104	1	86
1	105	67
106	1	7
107	1	39
1	108	7
109	1	29
110	1	47
111	1	43
112	1	4
1	113	52
114	1	5
1	115	23
1	116	42
117	1	26
118	1	73
1	119	85
1	120	71
1	121	57
1	122	24
123	1	56
1	124	21
125	1	19
1	126	17
127	1	49
128	1	25
1	129	50
1	130	26
1	131	45
132	1	40
133	1	50
1	134	63
1	135	73
136	1	49
1	137	43
138	1	32
1	139	79
1	140	7
141	1	40
142	1	99
143	1	21
1	144	32
145	1	68
1	146	15
147	1	57
148	1	62
1	149	63
1	150	59
1	151	36
1	152	33
153	1	69
1	154	45
155	1	69
156	1	94
1	157	70
1	158	63
1	159	56
160	1	26
161	1	2
162	1	68
1	163	14
164	1	11
165	1	86
1	166	54
1	167	32
168	1	99
169	1	90
170	1	83
171	1	40
1	172	21
173	1	32
174	1	92
175	1	95
176	1	12
1	177	46
178	1	78
1	179	20
1	180	65
1	181	44
182	1	16
1	183	32
1	184	98
185	1	49
186	1	61
187	1	23
188	1	84
1	189	10
1	190	2
191	1	90
192	1	45
193	1	31
194	1	62
195	1	37
196	1	9
1	197	97
1	198	76
1	199	59
2	3	48
2	4	76
5	2	13
2	6	77
7	2	26
2	8	6
9	2	68
10	2	79
2	11	59
2	12	32
2	13	82
2	14	89
2	15	49
2	16	52
2	17	46
2	18	53
19	2	22
2	20	31
2	21	75
22	2	25
23	2	21
24	2	52
2	25	100
26	2	27
2	27	53
2	28	68
2	29	29
2	30	99
31	2	69
32	2	92
33	2	71
2	34	44
35	2	65
2	36	4
2	37	6
38	2	53
2	39	33
2	40	78
41	2	13
2	42	51
2	43	42
44	2	75
2	45	46
2	46	53
47	2	50
2	48	19
2	49	23
2	50	95
51	2	17
52	2	87
53	2	49
54	2	58
2	55	100
2	56	83
2	57	98
2	58	3
59	2	46
2	60	78
61	2	17
2	62	86
2	63	92
2	64	94
65	2	85
2	66	34
67	2	37
2	68	43
2	69	6
2	70	74
2	71	58
72	2	11
73	2	60
2	74	38
75	2	15
76	2	90
2	77	52
2	78	71
2	79	2
2	80	63
81	2	4
82	2	86
83	2	16
2	84	82
2	85	41
2	86	16
87	2	90
2	88	12
2	89	19
90	2	46
91	2	40
92	2	24
2	93	6
94	2	64
95	2	16
96	2	76
2	97	15
98	2	28
99	2	5
100	2	28
101	2	53
102	2	83
103	2	54
104	2	21
105	2	84
2	106	64
2	107	85
108	2	89
2	109	6
2	110	74
111	2	15
2	112	45
113	2	25
2	114	75
115	2	67
2	116	20
117	2	4
118	2	30
119	2	61
2	120	26
121	2	62
122	2	73
123	2	68
124	2	35
2	125	67
2	126	36
127	2	52
128	2	94
2	129	1
130	2	24
131	2	28
2	132	56
133	2	10
134	2	100
2	135	76
136	2	5
2	137	11
138	2	40
139	2	48
2	140	86
2	141	13
142	2	8
143	2	33
2	144	48
2	145	94
2	146	64
147	2	72
148	2	96
2	149	86
150	2	4
2	151	55
152	2	30
153	2	34
2	154	90
155	2	85
2	156	75
157	2	34
2	158	13
159	2	76
2	160	83
161	2	58
2	162	5
2	163	86
2	164	63
2	165	43
166	2	17
2	167	16
168	2	7
2	169	35
170	2	4
171	2	85
2	172	23
2	173	36
2	174	84
2	175	34
2	176	61
2	177	70
178	2	87
179	2	89
180	2	11
181	2	31
2	182	18
183	2	80
2	184	44
2	185	29
186	2	63
2	187	31
188	2	35
189	2	69
190	2	17
2	191	73
192	2	99
193	2	84
2	194	79
2	195	79
2	196	76
2	197	38
2	198	66
2	199	34
4	3	22
5	3	37
6	3	47
7	3	95
8	3	76
3	9	69
