200	9936
81	160
0	1	43
2	0	74
0	3	66
0	4	12
5	0	63
0	6	40
7	0	93
8	0	49
9	0	7
10	0	22
11	0	20
12	0	54
13	0	17
0	14	2
0	15	83
16	0	86
0	17	20
0	18	64
0	19	4
0	20	43
21	0	59
0	22	33
23	0	14
24	0	96
0	25	55
0	26	97
27	0	60
28	0	26
29	0	6
30	0	73
31	0	82
32	0	4
33	0	93
34	0	77
35	0	66
0	36	26
37	0	88
38	0	87
39	0	17
40	0	35
0	41	27
0	42	64
43	0	92
44	0	86
0	45	99
46	0	75
47	0	61
48	0	35
49	0	66
50	0	71
0	51	3
0	52	35
53	0	55
54	0	24
0	55	5
56	0	5
57	0	50
0	58	98
59	0	2
60	0	46
61	0	51
62	0	33
0	63	57
0	64	42
65	0	53
66	0	41
67	0	62
0	68	76
69	0	45
70	0	37
71	0	21
0	72	69
73	0	95
74	0	53
75	0	21
0	76	40
77	0	17
78	0	24
79	0	68
0	80	33
81	0	22
0	82	10
0	83	49
84	0	78
85	0	8
86	0	3
0	87	91
0	88	61
89	0	85
90	0	93
0	91	97
0	92	52
0	93	99
0	94	59
95	0	93
96	0	18
0	97	87
0	98	17
0	99	45
1	2	75
3	1	80
4	1	50
5	1	95
6	1	49
7	1	35
8	1	4
9	1	60
1	10	64
11	1	13
1	12	99
13	1	31
1	14	64
15	1	55
1	16	2
1	17	95
1	18	93
19	1	7
20	1	37
21	1	35
1	22	44
1	23	12
24	1	18
25	1	1
1	26	11
27	1	26
28	1	89
1	29	62
30	1	46
1	31	63
32	1	62
1	33	91
34	1	12
1	35	59
36	1	11
37	1	71
1	38	68
1	39	83
1	40	2
1	41	40
42	1	78
43	1	93
44	1	100
45	1	39
46	1	7
1	47	75
48	1	37
1	49	72
50	1	44
1	51	98
1	52	23
53	1	30
1	54	61
55	1	15
56	1	10
1	57	91
58	1	37
1	59	64
1	60	53
61	1	3
1	62	39
1	63	61
1	64	35
1	65	25
66	1	58
67	1	44
1	68	87
1	69	74
1	70	14
1	71	48
72	1	37
1	73	78
74	1	17
75	1	84
76	1	77
1	77	47
1	78	72
79	1	61
1	80	45
81	1	29
1	82	71
83	1	86
84	1	3
1	85	39
1	86	82
87	1	27
88	1	43
89	1	90
1	90	84
91	1	2
1	92	95
1	93	24
94	1	33
95	1	65
96	1	32
1	97	87
98	1	28
1	99	50
3	2	2
2	4	100
5	2	71
2	6	80
7	2	3
8	2	37
2	9	62
2	10	69
11	2	40
2	12	80
13	2	93
14	2	37
2	15	54
2	16	66
17	2	61
2	18	99
2	19	11
2	20	51
2	21	1
22	2	82
2	23	95
24	2	4
2	25	22
26	2	18
2	27	49
2	28	63
2	29	27
2	30	35
31	2	85
2	32	32
33	2	45
34	2	49
35	2	65
36	2	4
37	2	51
38	2	100
2	39	27
2	40	66
41	2	1
2	42	58
2	43	81
44	2	58
2	45	35
2	46	32
2	47	66
48	2	94
2	49	79
2	50	58
2	51	67
52	2	93
2	53	47
54	2	58
2	55	14
2	56	54
57	2	97
58	2	53
59	2	1
2	60	89
2	61	87
2	62	35
2	63	63
64	2	65
65	2	46
66	2	73
67	2	3
2	68	46
2	69	57
70	2	41
71	2	74
72	2	60
2	73	6
2	74	18
2	75	10
2	76	64
77	2	90
2	78	48
79	2	51
2	80	9
81	2	33
2	82	69
83	2	5
2	84	54
2	85	72
86	2	5
2	87	15
2	88	10
2	89	65
90	2	32
2	91	23
2	92	5
2	93	99
94	2	41
95	2	37
2	96	5
2	97	47
2	98	78
2	99	64
4	3	48
3	5	26
6	3	73
3	7	47
3	8	32
9	3	89
10	3	69
11	3	61
12	3	55
3	13	77
3	14	62
3	15	48
3	16	56
3	17	11
18	3	33
19	3	87
3	20	26
3	21	23
22	3	49
23	3	18
24	3	92
25	3	100
3	26	41
3	27	73
3	28	13
3	29	48
30	3	33
31	3	84
32	3	57
3	33	8
3	34	40
35	3	17
36	3	31
37	3	18
3	38	42
3	39	50
3	40	74
3	41	10
42	3	95
3	43	21
3	44	10
3	45	46
46	3	94
3	47	2
48	3	63
49	3	45
50	3	75
51	3	57
52	3	60
3	53	78
54	3	20
55	3	79
3	56	36
3	57	44
58	3	90
3	59	33
3	60	45
61	3	46
62	3	100
63	3	78
3	64	69
3	65	33
66	3	63
3	67	49
3	68	86
69	3	93
3	70	66
71	3	92
72	3	29
73	3	68
74	3	64
75	3	27
76	3	17
3	77	7
