800	159638
224	721
0	1	7
0	2	47
0	3	72
0	4	49
0	5	36
0	6	32
0	7	71
0	8	41
0	9	39
10	0	15
0	11	61
0	12	79
13	0	23
0	14	43
15	0	38
16	0	26
0	17	38
18	0	89
0	19	42
0	20	20
0	21	95
22	0	10
23	0	32
0	24	13
0	25	9
26	0	72
27	0	30
28	0	60
0	29	81
30	0	55
0	31	70
32	0	3
0	33	51
34	0	39
35	0	97
36	0	56
37	0	28
0	38	60
0	39	70
40	0	83
0	41	31
0	42	19
43	0	86
0	44	77
0	45	42
0	46	100
0	47	14
48	0	40
0	49	10
0	50	100
0	51	56
0	52	89
0	53	34
0	54	56
0	55	82
0	56	5
0	57	84
58	0	61
0	59	48
0	60	84
61	0	77
62	0	5
0	63	9
64	0	17
0	65	98
0	66	47
67	0	52
0	68	90
69	0	55
70	0	34
71	0	47
72	0	68
73	0	84
74	0	52
0	75	39
0	76	70
77	0	41
0	78	49
79	0	38
80	0	82
81	0	54
0	82	58
83	0	82
84	0	7
85	0	99
86	0	11
87	0	79
88	0	25
89	0	9
90	0	39
91	0	47
0	92	38
93	0	61
0	94	75
0	95	16
96	0	81
97	0	17
0	98	24
99	0	34
100	0	65
101	0	21
102	0	14
0	103	58
104	0	8
0	105	82
0	106	65
0	107	2
108	0	40
109	0	29
110	0	18
111	0	42
0	112	42
0	113	50
114	0	18
0	115	98
0	116	40
0	117	14
0	118	81
0	119	69
0	120	51
121	0	95
0	122	74
0	123	39
0	124	79
125	0	46
126	0	17
0	127	58
0	128	31
129	0	95
130	0	29
131	0	99
0	132	32
0	133	100
0	134	7
135	0	6
136	0	75
137	0	29
0	138	43
0	139	49
0	140	80
0	141	53
142	0	14
0	143	1
144	0	34
0	145	92
146	0	68
147	0	74
0	148	62
0	149	8
150	0	12
151	0	78
152	0	49
0	153	42
0	154	97
0	155	100
156	0	33
0	157	11
158	0	30
159	0	21
160	0	25
161	0	4
162	0	12
0	163	66
164	0	50
165	0	38
166	0	74
167	0	40
168	0	97
169	0	86
170	0	33
0	171	53
172	0	23
173	0	29
174	0	62
175	0	5
0	176	32
0	177	34
178	0	62
179	0	76
180	0	52
181	0	8
0	182	72
0	183	76
184	0	73
185	0	2
186	0	72
187	0	29
188	0	5
189	0	8
0	190	30
191	0	63
192	0	48
193	0	9
194	0	25
0	195	49
0	196	89
197	0	14
0	198	54
0	199	20
0	200	94
201	0	64
202	0	84
203	0	14
0	204	75
205	0	41
206	0	37
207	0	20
208	0	31
209	0	43
210	0	81
0	211	97
0	212	97
0	213	46
214	0	10
215	0	12
216	0	9
0	217	12
0	218	32
0	219	91
220	0	72
221	0	58
0	222	82
0	223	93
224	0	8
0	225	21
226	0	21
0	227	54
228	0	88
229	0	13
230	0	72
231	0	50
232	0	42
0	233	60
234	0	44
235	0	92
236	0	50
237	0	82
238	0	60
0	239	91
240	0	83
0	241	80
242	0	48
0	243	60
0	244	59
245	0	59
0	246	22
0	247	13
248	0	92
0	249	63
250	0	73
251	0	78
0	252	17
0	253	52
0	254	2
0	255	59
256	0	69
257	0	8
0	258	84
0	259	86
0	260	95
0	261	89
262	0	31
0	263	45
264	0	74
265	0	93
266	0	88
0	267	42
0	268	35
0	269	7
0	270	39
0	271	74
0	272	31
273	0	20
0	274	41
275	0	83
276	0	73
277	0	18
278	0	23
0	279	49
280	0	86
281	0	99
0	282	90
0	283	78
0	284	63
285	0	14
0	286	49
287	0	57
288	0	88
289	0	22
0	290	61
0	291	41
292	0	66
293	0	64
0	294	20
0	295	67
0	296	48
0	297	99
0	298	64
0	299	82
300	0	25
301	0	81
0	302	25
303	0	68
0	304	45
305	0	59
0	306	12
307	0	76
308	0	15
0	309	99
0	310	74
311	0	38
